table,state_code,district_code,area_name,total,age_group,total_p,total_m,total_f,never_married_t,never_married_m,never_married_f,curr_married_t,curr_married_m,curr_married_f,widowed_t,widowed_m,widowed_f,separated_t,separated_m,separated_f,divorced_t,divorced_m,divorced_f,unspecified_t,unspecified_m,unspecified_f
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,80+,94242,49712,44530,4948,2913,2035,42049,29311,12738,46617,17085,29532,445,300,145,183,103,80,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,Age not stated,10843,6859,3984,7734,5275,2459,2821,1472,1349,263,99,164,13,6,7,12,7,5,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,Less than 18,3892492,2056279,1836213,3854102,2042379,1811723,36665,13143,23522,1039,436,603,534,269,265,152,52,100,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Rural,Less than 21,4465677,2347787,2117890,4343765,2312119,2031646,118780,34395,84385,1845,735,1110,891,411,480,396,127,269,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,All ages,3433242,1866185,1567057,1736885,976679,760206,1573218,857672,715546,112114,27019,85095,6062,3293,2769,4963,1522,3441,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,0-9,602512,324434,278078,602512,324434,278078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,10-14,316617,169344,147273,310124,166674,143450,6107,2494,3613,202,85,117,149,73,76,35,18,17,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,15-19,311354,163264,148090,295756,158550,137206,15105,4509,10596,284,100,184,164,86,78,45,19,26,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,20-24,333552,180286,153266,261520,152628,108892,70875,27210,43665,643,197,446,352,207,145,162,44,118,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,25-29,347554,199015,148539,160813,102954,57859,184320,95003,89317,1108,344,764,893,620,273,420,94,326,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,30-34,290766,162684,128082,59013,39291,19722,228302,122218,106084,1948,564,1384,817,451,366,686,160,526,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,35-39,269120,146997,122123,19805,13715,6090,244265,131872,112393,3317,755,2562,845,400,445,888,255,633,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,40-44,230863,130751,100112,8254,5727,2527,216022,123353,92669,5074,1093,3981,723,333,390,790,245,545,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,45-49,194831,106524,88307,3982,2828,1154,182539,101747,80792,7114,1460,5654,558,265,293,638,224,414,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,50-54,148574,81795,66779,2702,1879,823,135262,77577,57685,9721,1951,7770,439,231,208,450,157,293,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,55-59,112536,58112,54424,1700,1148,552,100219,54601,45618,10083,2139,7944,262,121,141,272,103,169,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,60-64,96721,52187,44534,2162,1417,745,78018,47002,31016,16055,3556,12499,263,133,130,223,79,144,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,65-69,63245,31963,31282,1598,983,615,47483,27569,19914,13880,3279,10601,171,98,73,113,34,79,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,70-74,51935,26695,25240,1273,745,528,32795,21519,11276,17532,4244,13288,209,134,75,126,53,73,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,75-79,26158,13114,13044,595,362,233,15446,9988,5458,9990,2696,7294,85,51,34,42,17,25,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,80+,32628,16132,16496,2297,1328,969,15076,10171,4905,15061,4532,10529,123,81,42,71,20,51,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,Age not stated,4276,2888,1388,2779,2016,763,1384,839,545,102,24,78,9,9,0,2,0,2,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,Less than 18,1103870,590895,512975,1090021,585846,504175,13162,4749,8413,384,148,236,240,121,119,63,31,32,0,0,0
C0402,1,0,State - JAMMU & KASHMIR (01),Urban,Less than 21,1306923,696810,610113,1274233,686070,588163,31578,10292,21286,631,220,411,374,186,188,107,42,65,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,All ages,6864602,3481873,3382729,3043972,1720775,1323197,3432207,1677655,1754552,366748,73273,293475,13481,6525,6956,8194,3645,4549,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,0-9,1136161,596468,539693,1136161,596468,539693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,10-14,639224,338240,300984,628334,333862,294472,10218,4105,6113,441,142,299,204,120,84,27,11,16,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,15-19,640461,336729,303732,603620,327867,275753,35925,8523,27402,586,195,391,264,117,147,66,27,39,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,20-24,643866,323720,320146,414718,265290,149428,226721,57682,169039,1423,412,1011,715,250,465,289,86,203,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,25-29,589160,290125,299035,160420,124983,35437,423783,163662,260121,3112,752,2360,1210,493,717,635,235,400,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,30-34,546357,271253,275104,41609,32227,9382,495676,236410,259266,6456,1358,5098,1595,778,817,1021,480,541,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,35-39,517966,258230,259736,14855,10587,4268,488620,244021,244599,11264,1990,9274,1943,983,960,1284,649,635,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,40-44,445560,222269,223291,8786,6042,2744,417222,212330,204892,16731,2562,14169,1675,836,839,1146,499,647,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,45-49,395128,197642,197486,6066,4114,1952,363319,188809,174510,23345,3616,19729,1423,664,759,975,439,536,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,50-54,330687,165724,164963,4703,3196,1507,293408,156759,136649,30577,4847,25730,1213,579,634,786,343,443,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,55-59,266860,135245,131615,3466,2365,1101,227834,126311,101523,34088,5862,28226,885,442,443,587,265,322,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,60-64,231372,115464,115908,4419,2977,1442,177350,103199,74151,48181,8607,39574,897,452,445,525,229,296,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,65-69,158607,78387,80220,4007,2629,1378,110761,66870,43891,43022,8474,34548,507,268,239,310,146,164,0,0,0
C0402,2,0,State - HIMACHAL PRADESH (02),Total,70-74,130587,62119,68468,2511,1703,808,76527,49813,26714,50872,10255,40617,448,235,213,229,113,116,0,0,0
